id,participant,person,trait
1,1,self,68
2,2,self,88
3,3,self,87
4,4,self,72
5,5,self,78
6,6,self,71
7,7,self,92
8,8,self,88
9,9,self,82
10,10,self,89
11,11,self,70
12,12,self,78
13,13,self,83
14,14,self,91
15,15,self,76
16,16,self,86
17,17,self,65
18,18,self,88
19,19,self,79
20,20,self,73
21,21,self,83
22,22,self,69
23,23,self,83
24,24,self,69
25,25,self,65
26,26,self,74
27,27,self,70
28,28,self,74
29,29,self,86
30,30,self,77
31,31,self,78
32,32,self,79
33,33,self,93
34,34,self,77
35,35,self,72
36,36,self,74
37,37,self,95
38,38,self,79
39,39,self,70
40,40,self,72
41,41,self,95
42,42,self,86
43,43,self,81
44,44,self,74
45,45,self,72
46,46,self,79
47,47,self,71
48,48,self,71
49,49,self,94
50,50,self,95
51,51,self,94
52,52,self,88
53,53,self,84
54,54,self,81
55,55,self,67
56,56,self,95
57,57,self,85
58,58,self,89
59,59,self,89
60,60,self,68
61,61,self,89
62,62,self,89
63,63,self,65
64,64,self,74
65,65,self,68
66,66,self,84
67,67,self,71
68,68,self,93
69,69,self,82
70,70,self,73
71,71,self,71
72,72,self,73
73,73,self,69
74,74,self,67
75,75,self,91
76,76,self,70
77,77,self,91
78,78,self,85
79,79,self,93
80,80,self,81
81,81,self,83
82,82,self,69
83,83,self,95
84,84,self,86
85,85,self,77
86,86,self,92
87,87,self,93
88,88,self,93
89,89,self,86
90,90,self,75
91,91,self,93
92,92,self,81
93,93,self,84
94,94,self,91
95,95,self,95
96,96,self,68
97,97,self,82
98,98,self,70
99,99,self,74
100,100,self,71
101,101,self,77
102,102,self,78
103,103,self,87
104,104,self,90
105,105,self,89
106,106,self,74
107,107,self,71
108,108,self,72
109,109,self,92
110,110,self,89
111,111,self,91
112,112,self,82
113,113,self,74
114,114,self,65
115,115,self,82
116,116,self,94
117,117,self,90
118,118,self,93
119,119,self,93
120,120,self,74
121,121,self,66
122,122,self,69
123,123,self,74
124,124,self,76
125,125,self,68
126,126,self,71
127,127,self,74
128,128,self,72
129,129,self,77
130,130,self,68
131,131,self,95
132,132,self,86
133,133,self,84
134,134,self,81
135,135,self,83
136,136,self,90
137,137,self,76
138,138,self,72
139,139,self,85
140,140,self,79
141,141,self,83
142,142,self,82
143,143,self,72
144,144,self,89
145,145,self,77
146,146,self,74
147,147,self,89
148,148,self,65
149,149,self,81
150,150,self,69
151,151,self,89
152,152,self,73
153,153,self,94
154,154,self,72
155,155,self,87
156,156,self,69
157,157,self,91
158,158,self,71
159,159,self,90
160,160,self,86
161,161,self,70
162,162,self,91
163,163,self,86
164,164,self,93
165,165,self,89
166,166,self,68
167,167,self,73
168,168,self,87
169,169,self,75
170,170,self,93
171,171,self,76
172,172,self,75
173,173,self,85
174,174,self,94
175,175,self,75
176,176,self,65
177,177,self,88
178,178,self,94
179,179,self,70
180,180,self,77
181,181,self,71
182,182,self,88
183,183,self,65
184,184,self,69
185,185,self,73
186,186,self,81
187,187,self,71
188,188,self,71
189,189,self,74
190,190,self,81
191,191,self,70
192,192,self,75
193,193,self,69
194,194,self,85
195,195,self,68
196,196,self,75
197,197,self,84
198,198,self,70
199,199,self,67
200,200,self,80
201,201,self,85
202,202,self,82
203,203,self,81
204,204,self,68
205,205,self,77
206,206,self,77
207,207,self,90
208,208,self,72
209,209,self,69
210,210,self,78
211,211,self,83
212,212,self,68
213,213,self,79
214,214,self,69
215,215,self,66
216,216,self,78
217,217,self,90
218,218,self,94
219,219,self,76
220,220,self,85
221,221,self,79
222,222,self,65
223,223,self,79
224,224,self,73
225,225,self,75
226,226,self,88
227,227,self,75
228,228,self,92
229,229,self,67
230,230,self,90
231,231,self,70
232,232,self,95
233,233,self,88
234,234,self,93
235,235,self,80
236,236,self,87
237,237,self,93
238,238,self,79
239,239,self,74
240,240,self,81
241,241,self,65
242,242,self,82
243,243,self,76
244,244,self,76
245,245,self,93
246,246,self,89
247,247,self,91
248,248,self,95
249,249,self,68
250,250,self,69
251,1,friend,65
252,2,friend,75
253,3,friend,75
254,4,friend,85
255,5,friend,65
256,6,friend,83
257,7,friend,61
258,8,friend,77
259,9,friend,82
260,10,friend,58
261,11,friend,67
262,12,friend,64
263,13,friend,58
264,14,friend,71
265,15,friend,60
266,16,friend,60
267,17,friend,81
268,18,friend,80
269,19,friend,59
270,20,friend,81
271,21,friend,69
272,22,friend,82
273,23,friend,84
274,24,friend,76
275,25,friend,66
276,26,friend,83
277,27,friend,69
278,28,friend,56
279,29,friend,57
280,30,friend,84
281,31,friend,80
282,32,friend,72
283,33,friend,55
284,34,friend,64
285,35,friend,83
286,36,friend,66
287,37,friend,81
288,38,friend,70
289,39,friend,80
290,40,friend,82
291,41,friend,77
292,42,friend,58
293,43,friend,60
294,44,friend,66
295,45,friend,75
296,46,friend,60
297,47,friend,62
298,48,friend,77
299,49,friend,74
300,50,friend,64
301,51,friend,72
302,52,friend,61
303,53,friend,64
304,54,friend,69
305,55,friend,59
306,56,friend,77
307,57,friend,85
308,58,friend,78
309,59,friend,69
310,60,friend,59
311,61,friend,63
312,62,friend,68
313,63,friend,61
314,64,friend,68
315,65,friend,77
316,66,friend,63
317,67,friend,74
318,68,friend,70
319,69,friend,80
320,70,friend,68
321,71,friend,59
322,72,friend,82
323,73,friend,59
324,74,friend,83
325,75,friend,55
326,76,friend,64
327,77,friend,84
328,78,friend,75
329,79,friend,71
330,80,friend,74
331,81,friend,70
332,82,friend,72
333,83,friend,66
334,84,friend,57
335,85,friend,61
336,86,friend,59
337,87,friend,59
338,88,friend,77
339,89,friend,77
340,90,friend,83
341,91,friend,56
342,92,friend,71
343,93,friend,83
344,94,friend,80
345,95,friend,61
346,96,friend,85
347,97,friend,83
348,98,friend,58
349,99,friend,62
350,100,friend,84
351,101,friend,69
352,102,friend,63
353,103,friend,81
354,104,friend,66
355,105,friend,79
356,106,friend,71
357,107,friend,64
358,108,friend,68
359,109,friend,61
360,110,friend,85
361,111,friend,57
362,112,friend,61
363,113,friend,75
364,114,friend,79
365,115,friend,84
366,116,friend,63
367,117,friend,77
368,118,friend,75
369,119,friend,59
370,120,friend,63
371,121,friend,78
372,122,friend,66
373,123,friend,73
374,124,friend,84
375,125,friend,73
376,126,friend,70
377,127,friend,64
378,128,friend,67
379,129,friend,62
380,130,friend,62
381,131,friend,55
382,132,friend,65
383,133,friend,64
384,134,friend,82
385,135,friend,85
386,136,friend,76
387,137,friend,82
388,138,friend,78
389,139,friend,71
390,140,friend,69
391,141,friend,62
392,142,friend,85
393,143,friend,76
394,144,friend,55
395,145,friend,60
396,146,friend,67
397,147,friend,59
398,148,friend,57
399,149,friend,67
400,150,friend,83
401,151,friend,74
402,152,friend,75
403,153,friend,84
404,154,friend,61
405,155,friend,80
406,156,friend,77
407,157,friend,64
408,158,friend,71
409,159,friend,57
410,160,friend,60
411,161,friend,59
412,162,friend,71
413,163,friend,58
414,164,friend,64
415,165,friend,69
416,166,friend,64
417,167,friend,73
418,168,friend,64
419,169,friend,71
420,170,friend,56
421,171,friend,55
422,172,friend,64
423,173,friend,83
424,174,friend,70
425,175,friend,61
426,176,friend,60
427,177,friend,84
428,178,friend,59
429,179,friend,79
430,180,friend,59
431,181,friend,55
432,182,friend,76
433,183,friend,77
434,184,friend,63
435,185,friend,58
436,186,friend,72
437,187,friend,67
438,188,friend,59
439,189,friend,65
440,190,friend,59
441,191,friend,84
442,192,friend,64
443,193,friend,85
444,194,friend,59
445,195,friend,67
446,196,friend,79
447,197,friend,69
448,198,friend,73
449,199,friend,56
450,200,friend,56
451,201,friend,60
452,202,friend,85
453,203,friend,57
454,204,friend,62
455,205,friend,57
456,206,friend,57
457,207,friend,58
458,208,friend,78
459,209,friend,85
460,210,friend,64
461,211,friend,81
462,212,friend,55
463,213,friend,73
464,214,friend,84
465,215,friend,67
466,216,friend,74
467,217,friend,77
468,218,friend,83
469,219,friend,58
470,220,friend,59
471,221,friend,73
472,222,friend,82
473,223,friend,76
474,224,friend,79
475,225,friend,58
476,226,friend,79
