id,participant,engagement,temp,free,workload
1,1,80.48066684,87.42571186,4.543805455,9.408930396
2,2,82.31010653,73.2666491,3.925750862,9.157550767
3,3,81.85621875,76.37810356,3.253898637,9.550493154
4,4,82.51988823,78.64684535,8.338969376,10
5,5,83.6867033,79.60651133,11.04004135,8.608873388
6,6,83.85640056,85.27348387,4.918850057,8.594575785
7,7,83.75391841,85.2052606,4.239123776,8.683245457
8,8,83.58844499,86.0076001,4.093037587,9.042439593
9,9,83.49189333,87.57061194,8.746186661,10
10,10,85.88203414,82.38422907,8.331836753,9.3720989
11,11,84.49799747,81.84288892,2.651369864,9.886711874
12,12,81.37871782,85.29311958,0.068360155,9.244329091
13,13,83.33571234,85.35628663,5.249565512,9.595917634
14,14,84.78377728,91.51412943,5.929437667,7.561109528
15,15,81.93994593,78.77718581,9.634830623,7.187921154
16,16,84.21590477,81.92701802,12.26726292,9.028798619
17,17,82.82384071,87.10218977,8.179011222,10
18,18,82.37478953,74.48007715,8.80203745,7.389315396
19,19,84.61245644,82.69250121,9.462281447,10
20,20,81.97221693,78.81130899,2.071915133,9.626541404
21,21,79.11131624,80.58868643,3.524173958,9.475626791
22,22,85.1446668,87.29035928,10.17017374,8.622334332
23,23,81.1285758,81.50602056,0.314507874,8.479834115
24,24,82.6005251,83.42586652,5.001944738,8.828917701
25,25,83.89501586,91.90829298,8.570987945,8.149495443
26,26,83.74600928,82.89322031,7.129973274,7.623254754
27,27,83.72334235,92.59880399,8.586980989,9.338498051
28,28,84.25785377,84.86741382,8.146813126,8.647806956
29,29,82.81281371,77.97238329,5.050705189,9.174861815
30,30,84.8882364,80.64210536,11.2788505,8.069917586
31,31,81.3815309,82.22084142,7.840928209,8.458721051
32,32,83.77340355,81.96912196,9.957056304,8.357259756
33,33,81.79654829,86.0900051,0.232417556,8.10377271
34,34,83.99221655,85.43818149,9.265156986,10
35,35,80.75784747,71.4011256,4.843628388,8.618955692
36,36,85.38459035,81.31460198,7.717136116,9.696863729
37,37,80.39141973,77.51518744,6.319890897,8.847014469
38,38,83.2248145,75.92623502,9.978330141,9.599897847
39,39,81.27058035,82.94357175,2.797030725,7.930106277
40,40,86.0809063,92.26836636,5.276655059,8.094578152
41,41,82.51497034,85.4102929,6.033671849,8.898955009
42,42,85.06837411,91.0358069,9.739230313,10
43,43,83.65529512,89.51216408,4.488556734,9.939595266
44,44,85.39543849,81.00779149,13.70936148,6.904118864
45,45,82.5903627,81.95128765,4.682721188,9.539418481
46,46,84.42201875,83.91444282,5.401289753,9.278582973
47,47,87.53692157,88.89460738,7.768194386,8.954963495
48,48,82.79814881,75.70061605,10.52958496,9.168892026
49,49,84.33597162,75.64388989,4.600709161,8.288432047
50,50,82.64279725,82.69876668,0,8.698156457
51,51,82.16258283,82.29988704,2.671632553,7.572977015
52,52,83.3558772,85.9709569,5.447859007,10
53,53,82.72050128,78.0308687,5.960341984,10
54,54,84.32229068,78.23947049,7.525373182,9.136675556
55,55,87.63139509,93.58864455,6.387326593,9.450178603
56,56,83.49021822,89.81220626,2.991042511,9.006298634
57,57,84.02797907,87.64586127,8.521560686,9.22984504
58,58,82.98899303,86.9594635,9.95795752,8.443780057
59,59,83.25523921,88.6497676,3.415618186,10
60,60,83.45847336,77.01112606,5.866000724,7.807248142
61,61,84.3995076,79.14521228,2.685498943,7.384865148
62,62,84.07585922,93.5382095,6.164910686,8.726742952
63,63,84.36543149,85.62138775,1.811862509,9.874888839
64,64,81.9910454,81.18513905,7.114178557,9.125278418
65,65,82.38121461,85.74569898,3.085572551,8.850143736
66,66,80.12614123,76.98691765,0.311994255,8.679925642
67,67,85.93922173,79.72118796,8.950361062,0
68,68,81.81680392,76.53107387,5.42591085,4.827762682
69,69,85.75458535,82.40847149,8.291703263,3.051203948
70,70,81.67443515,81.91090358,4.232313761,5.368449086
71,71,83.09768064,80.85274939,7.592221731,6.283075967
72,72,85.92773599,85.71149636,6.76057278,2.976947413
73,73,83.347496,88.56712916,6.411213878,9.349328302
74,74,86.29947988,89.99161164,2.628727517,2.032886094
75,75,86.15990311,83.64834061,15.26297446,5.130394505
76,76,83.8654197,81.04712895,10.93865135,0.50177101
77,77,82.81383313,81.03050728,6.382843293,7.484610825
78,78,83.70515967,81.50276781,5.808528473,4.347883677
79,79,85.79757641,85.05475402,7.092956955,2.359741296
80,80,85.38843579,86.94511624,9.560193475,4.950402785
81,81,85.2865494,81.45533384,9.608304811,5.948797808
82,82,82.72414315,79.8254665,3.922285988,8.390106751
83,83,85.15400363,81.01386818,7.12661432,3.26527086
84,84,82.78354589,80.35315446,7.49099018,10
85,85,85.16448106,77.67498842,5.729558288,0
86,86,81.7762639,86.54727968,5.323231598,9.697904396
87,87,82.57225792,84.42147484,8.367282873,10
88,88,83.58547344,86.31845893,10.47946796,6.256669826
89,89,81.92392586,88.60079779,7.848446997,10
90,90,82.70551015,90.69206805,0.617100917,8.902837704
91,91,81.9008789,81.62070446,5.409226376,2.880812408
92,92,79.57504311,82.33566412,7.448704187,10
93,93,83.69547158,89.3528595,8.310029977,7.255549035
94,94,81.68029099,81.509193,5.014311799,8.92790974
95,95,84.52532229,84.48370419,9.055060314,5.401678917
96,96,86.74512668,78.9907687,8.47523599,0.189659366
97,97,83.17182768,86.65325729,4.830156273,9.288587451
98,98,83.53112015,83.43611202,9.301824243,5.077564692
99,99,84.39826663,77.95658194,3.867409583,1.292017975
100,100,85.93448791,83.45107027,5.619195332,2.618514126
101,101,84.6580394,87.60275756,2.998206671,5.547623933
102,102,86.30827467,87.88970962,6.600247856,4.036669346
103,103,84.65239952,80.84475649,11.724357,9.043020793
104,104,83.65091744,84.19253577,7.740810082,1.451865017
105,105,82.32787079,82.71586953,6.872405811,6.341081787
106,106,82.9006267,79.37197597,10.26888604,5.278359577
107,107,85.43090572,79.06886019,10.26074752,4.915322656
